Prompt,Response
"A patient is diagnosed with Roseola and is experiencing symptoms like Irritability ,  Sore throat ,  Cough ,  Red eyes ,  Loss of appetite ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Stomach cramps ,  Headache ,  Fatigue ,  Dehydration ,  Muscle aches ,  Feverish ,  General discomfort ,  Joint pain ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Headache ,  Dehydration ,  General discomfort ,  Joint pain ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Vomiting ,  Stomach cramps ,  Loss of appetite ,  Rashes ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Avoid spicy foods, drink warm fluids. Medication: Antacids Pantoprazole 40mg if reflux suspected."
"A patient is diagnosed with Mumps and is experiencing symptoms like Headache ,  ""Swollen ,   painful salivary glands"" ,  Fever ,  Muscle aches ,  Tiredness ,  Loss of appetite ,  Trouble chewing ,  Fever ,  Muscle aches ,  Loss of appetite ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Irritability ,  Sore throat ,  Headache ,  Diarrhea ,  Vomiting ,  Body aches ,  Rashes ,  Feverish ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Fatigue ,  Cough ,  Diarrhea ,  Vomiting ,  Rashes ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Sores in mouth ,  Rash on hands and feet ,  Red spots ,   ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Scarlet Fever and is experiencing symptoms like Swollen glands ,  Sore throat ,  Strawberry tongue ,  Fever (100.4�F / 38.0�C or higher) ,  Difficulty swallowing ,  ""Tender ,   enlarged neck glands"" ,  Nausea or vomiting ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Low-grade fever ,  Nausea ,  Headache ,  Chills ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Blisters ,  Cough ,  Sore muscles ,   ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Low-grade fever ,  Nausea ,  Headache ,  Fatigue ,  Dehydration ,  Chills ,  Rashes ,  General discomfort ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Nausea ,  Stomach cramps ,  Headache ,  Fatigue ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Chills ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Low-grade fever ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Chills ,  Sweating ,  Rashes ,  General discomfort ,  Irritability ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Nausea ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Rashes ,  Fever ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Irritability ,  Sore throat ,  Cough ,  Red eyes ,  Vomiting ,  Body aches ,  Rashes ,  Chills ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Dehydration ,  Muscle aches ,  Feverish ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Bloody stools ,  Headache ,  Fatigue ,  Loss of appetite ,  Body aches ,  Feverish ,  Rashes ,  Joint pain ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Body aches ,  Chills ,  Joint pain ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Muscle aches ,  Headache ,  Abdominal pain ,  Chills ,  Rashes ,  General discomfort ,  Fever ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Irritability ,  Swollen lymph nodes ,  Sore throat ,  Feverish ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Vomiting ,  Headache ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Feverish ,  Rashes ,  Chills ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Scarlet Fever and is experiencing symptoms like Fever ,  Red lines in body folds ,  Red rash on the body ,  Strawberry tongue ,  Nausea or vomiting ,  Abdominal pain ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Bloody stools ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Feverish ,  Joint pain ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Sores in mouth ,  Rash on hands and feet ,  Irritability ,  Mouth sores ,  Red spots ,  Fatigue ,  Mild fever ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Low-grade fever ,  Headache ,  Fatigue ,  Abdominal pain ,  Loss of appetite ,  General discomfort ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Cough ,  Red eyes ,  Diarrhea ,  Loss of appetite ,  Abdominal pain ,  Body aches ,  Rashes ,  Chills ,  Feverish. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Rash ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Cough ,  Red eyes ,  Chills ,  Feverish ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Muscle aches ,  Nausea ,  Fatigue ,  Abdominal pain ,  Dehydration ,  Rashes ,  Fever ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Low-grade fever ,  Muscle aches ,  Nausea ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Rashes ,  Fever ,  Irritability ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Nausea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Headache ,  Dehydration ,  Loss of appetite ,  Feverish ,  Rashes ,  General discomfort ,  Joint pain. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Sores in mouth ,  Rash on hands and feet ,  Irritability ,  Sore throat ,  Mouth sores ,  Red spots ,  Fatigue ,  Sore muscles ,  General discomfort ,  Mild fever ,  Difficulty swallowing ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Nausea ,  Abdominal pain ,  Dehydration ,   ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Vomiting ,  Bloody stools ,  Stomach cramps ,  Dehydration ,  Feverish ,  Chills ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Low-grade fever ,  Muscle aches ,  Nausea ,  Headache ,  Fatigue ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  Sweating ,  Rashes ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Swollen lymph nodes ,  Sore throat ,  Loss of appetite ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Fatigue ,  Muscle aches ,  Rashes ,  General discomfort ,  Chills ,  Joint pain ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Sores in mouth ,  Loss of appetite ,  Irritability ,  Blisters ,  Fatigue ,  Cough ,  Headache ,  Difficulty swallowing ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated, use humidifiers. Medication: Dextromethorphan syrup for dry cough, Guaifenesin for productive cough."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Low-grade fever ,  Loss of appetite ,  Sweating ,  Body aches ,  General discomfort ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Low-grade fever ,  Nausea ,  Fatigue ,  Loss of appetite ,  Irritability ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Headache ,  Dehydration ,  Joint pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Avoid spicy foods, drink warm fluids. Medication: Antacids Pantoprazole 40mg if reflux suspected."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Bloody stools ,  Stomach cramps ,  Headache ,  Loss of appetite ,  Feverish ,  Chills ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Nausea ,  Vomiting ,  Bloody stools ,  Headache ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Muscle aches ,  Nausea ,  Headache ,  Fatigue ,  Loss of appetite ,  Dehydration ,  Chills ,  General discomfort ,  Irritability ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Cough ,  Loss of appetite ,  Feverish ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Bloody stools ,  Stomach cramps ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Feverish ,  Chills ,  Joint pain. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Sores in mouth ,  Irritability ,  Sore throat ,  Mouth sores ,  Blisters ,  Fatigue ,  Cough ,  Sore muscles ,  Difficulty swallowing ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated, use humidifiers. Medication: Dextromethorphan syrup for dry cough, Guaifenesin for productive cough."
"A patient is diagnosed with Mumps and is experiencing symptoms like ""Swollen ,   painful salivary glands"" ,  Muscle aches ,  Tiredness ,  Loss of appetite ,  Trouble chewing ,  Testicle pain and tenderness ,  Fever ,  Muscle aches ,  Loss of appetite ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Sores in mouth ,  Rash on hands and feet ,  Sore throat ,  Mouth sores ,  Red spots ,  Mild fever ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Sores in mouth ,  Rash on hands and feet ,  Irritability ,  Sore throat ,  Red spots ,  Blisters ,  Fatigue ,  Cough ,  General discomfort ,  Mild fever ,  Difficulty swallowing. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Runny nose ,  Irritability ,  Fatigue ,  Headache ,  Cough ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Body aches ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Irritability ,  Sore throat ,  Cough ,  Red eyes ,  Loss of appetite ,  Abdominal pain ,  Body aches ,  Chills ,  Feverish ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Headache ,  Cough ,  Diarrhea ,  Vomiting ,  Body aches ,  Feverish ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Stomach cramps ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Low-grade fever ,  Muscle aches ,  Fatigue ,  Dehydration ,  Chills ,  Rashes ,  General discomfort ,  Fever ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Red eyes ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Rashes ,  Chills ,  Feverish. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Stomach cramps ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Feverish ,  Chills. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Muscle aches ,  Nausea ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Dehydration ,  General discomfort ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Headache ,  Fatigue ,  Muscle aches ,  Body aches ,  General discomfort ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Fatigue ,  Dehydration ,  Body aches ,  Feverish ,  General discomfort ,  Chills ,  Joint pain ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Roseola and is experiencing symptoms like Rash ,  Irritability ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Rashes ,  Chills ,  Feverish ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Nausea ,  Headache ,  Fatigue ,  Loss of appetite ,  Chills ,  Sweating ,  Body aches ,  General discomfort ,  Fever ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Vomiting ,  Headache ,  Loss of appetite ,  Muscle aches ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Ibuprofen 400mg or Acetaminophen 500mg."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Vomiting ,  Fatigue ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Feverish ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Bloody stools ,  Dehydration ,  Loss of appetite ,  Body aches ,  Joint pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Muscle aches ,  Nausea ,  Abdominal pain ,  Fever ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Fatigue ,  Headache ,  Cough ,  Red eyes ,  Diarrhea ,  Abdominal pain ,  Body aches ,  Chills ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Bloody stools ,  Stomach cramps ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Rashes ,  General discomfort ,  Chills ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Vomiting ,  Stomach cramps ,  Fatigue ,  Dehydration ,  Muscle aches ,  Rashes ,  General discomfort ,  Chills ,  Joint pain ,   ,   ,. What is the recommended treatment?","Treatment: Avoid spicy foods, drink warm fluids. Medication: Antacids Pantoprazole 40mg if reflux suspected."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Headache ,  Feverish ,  Rashes ,  Chills ,  Joint pain ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Nausea ,  Abdominal pain ,  Rashes ,  General discomfort ,  Fever ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Irritability ,  Headache ,  Cough ,  Abdominal pain ,  Rashes ,  Feverish ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Low-grade fever ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Chills ,  Body aches ,  Rashes ,  Irritability ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Common Cold and is experiencing symptoms like ""Stuffy ,   runny nose"" ,  ""Scratchy ,   tickly throat"" ,  Watering eyes ,  Low-grade fever ,  Mild hacking cough ,  Achy muscles and bones ,  Chills ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Fatigue ,  Sore throat ,  Cough ,  Vomiting ,  Abdominal pain ,  Rashes ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Fatigue ,  Sore throat ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Chills ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Bloody stools ,  Stomach cramps ,  Loss of appetite ,  Body aches ,  Rashes ,  Chills ,  Joint pain ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Fatigue ,  Abdominal pain ,  Sweating ,  Body aches ,  Rashes ,  Fever ,  Irritability ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Fatigue ,  Sore throat ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Rashes ,  Feverish ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Irritability ,  Cough ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Body aches ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Sores in mouth ,  Mouth sores ,  Blisters ,  Cough ,  Headache ,  General discomfort ,  Mild fever ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Irritability ,  Fatigue ,  Sore throat ,  Headache ,  Red eyes ,  Loss of appetite ,  Rashes ,  Chills ,  Feverish ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Nausea ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Body aches ,  Feverish ,  General discomfort ,  Chills ,  Joint pain. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Nausea ,  Bloody stools ,  Stomach cramps ,  Headache ,  Dehydration ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Head Lice Infestation and is experiencing symptoms like Infection from scratched skin ,  ""Itching on the scalp ,   neck ,   and ears"" ,  Sores on the scalp ,  Trouble sleeping ,   ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?",Consult a doctor for an accurate diagnosis and treatment plan.
